name, img, birth, death, length 
Bill Oddie, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Bill_Oddie_%28383148953%29.jpg/220px-Bill_Oddie_%28383148953%29.jpg, 1941-07-07, , 28146
John Gould, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/John_Gould.jpg/220px-John_Gould.jpg, 1804-09-14, 1881-02-03, 19829
Herbert Friedmann, http://upload.wikimedia.org/wikipedia/en/3/33/Herbert_Friedman_portrait.jpg, 1900-04-22, 1987-05-14, 3996
Johan Ernst Gunnerus, http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Johann_Ernst_Gunnerus.jpg/220px-Johann_Ernst_Gunnerus.jpg, 1718-02-26, 1773-09-23, 4154
Edward Grey, 1st Viscount Grey of Fallodon, http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Edward_Grey_1914.jpg/200px-Edward_Grey_1914.jpg, 1862-04-25, 1933-09-08, 38115
Titian Peale, http://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Titian_Ramsay_Peale_2_1799-1885.jpg/220px-Titian_Ramsay_Peale_2_1799-1885.jpg, 1799-11-02, 1885-03-13, 9532
Sir William Jardine, 7th Baronet, http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Sir-william-jardine.jpg/250px-Sir-william-jardine.jpg, 1800-02-23, 1874-11-21, 14791
Thomas C. Jerdon, http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Jerdon_Thomas_1811-1872.jpg/220px-Jerdon_Thomas_1811-1872.jpg, 1811-11-12, 1872-12-12, 17241
Alexander Keyserling, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/AlexanderGrafKeyserling.jpg/175px-AlexanderGrafKeyserling.jpg, , 1891-05-09, 2122
Henry Henshaw, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Henry_Wetherbee_Henshaw_1904.JPG/220px-Henry_Wetherbee_Henshaw_1904.JPG, 1850-03-03, 1930-08-01, 4494
Tom Iredale, http://upload.wikimedia.org/wikipedia/commons/8/8f/Tom_Iredale.jpg, 1880-03-24, 1972-04-12, 7664
William Henry Hudson, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Hudson_William_Henry.jpg/150px-Hudson_William_Henry.jpg, 1841-08-04, 1922-08-18, 6276
Stamford Raffles, http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/StamfordRaffles.jpeg/220px-StamfordRaffles.jpeg, 1781-07-06, , 39016
Nikolay Przhevalsky, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Nikolay_Przhevalsky_photoportrait_and_signature.jpg/220px-Nikolay_Przhevalsky_photoportrait_and_signature.jpg, 1839-04-12, 1888-11-01, 14803
John Latham (ornithologist), http://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Latham_John_1740-1837.png/220px-Latham_John_1740-1837.png, 1740-06-27, 1837-02-04, 8784
David Lack, http://upload.wikimedia.org/wikipedia/en/thumb/e/e0/David_Lack.png/220px-David_Lack.png, 1910-07-16, 1973-03-12, 14067
E. Alexander Bergstrom, http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/EAB_with_grackle_1953.jpg/220px-EAB_with_grackle_1953.jpg, , 1973-03-23, 4710
Roger Tory Peterson, http://upload.wikimedia.org/wikipedia/en/3/3c/Roger_Tory_Peterson.jpg, 1908-08-28, 1996-07-28, 7919
Chris Mead, http://upload.wikimedia.org/wikipedia/en/thumb/a/ae/Flag_of_the_United_Kingdom.svg/23px-Flag_of_the_United_Kingdom.svg.png, 1940-05-01, 2003-01-16, 3951
Donald Ryder Dickey, http://upload.wikimedia.org/wikipedia/en/thumb/a/a5/Donald_Ryder_Dickey_%281887-1932%29_with_bat.jpg/220px-Donald_Ryder_Dickey_%281887-1932%29_with_bat.jpg, 1887-03-31, 1932-04-15, 16935
Walter Rothschild, 2nd Baron Rothschild, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Walter_Rothschild.jpg/245px-Walter_Rothschild.jpg, , 1937-08-28, 13521
Alfred Brehm, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Alfred_Edmund_Brehm_from_Familj-Journalen1885.png/200px-Alfred_Edmund_Brehm_from_Familj-Journalen1885.png, 1829-02-02, 1884-11-11, 6279
Boyd Alexander, http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/BoydAlexanderIbis1910.jpg/220px-BoydAlexanderIbis1910.jpg, 1873-01-16, 1910-04-02, 2651
Nikolai Severtzov, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D1%86%D0%BE%D0%B2_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87.jpg/220px-%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D1%86%D0%BE%D0%B2_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%90%D0%BB%D0%B5%D0%BA%D1%81%D0%B5%D0%B5%D0%B2%D0%B8%D1%87.jpg, , 1885-02-08, 2286
John W. Fitzpatrick, http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/John_Fitzpatrick_Ornithologist_.jpg/220px-John_Fitzpatrick_Ornithologist_.jpg, , , 7715
Alexander Skutch, http://upload.wikimedia.org/wikipedia/en/2/21/AlexanderFSkutch.jpg, 1904-05-20, 2004-05-12, 8929
Howard Saunders, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Mr._Howard_Saunders.jpg/220px-Mr._Howard_Saunders.jpg, 1835-09-16, 1907-10-20, 2477
