name, img, birth, death, length 
George de Hevesy, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/George_de_Hevesy.jpg/200px-George_de_Hevesy.jpg, 1885-08-01, 1966-07-05, 15769
Martin Heinrich Klaproth, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Martin_Heinrich_Klaproth.jpg/150px-Martin_Heinrich_Klaproth.jpg, 1743-12-01, 1817-01-01, 5673
Germain Henri Hess, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Hess_Germain_Henri.jpg/150px-Hess_Germain_Henri.jpg, , 1850-12-14, 5748
Aaron Klug, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Aaron_Klug_1979.jpg/220px-Aaron_Klug_1979.jpg, 1926-08-11, , 16941
Robert Havemann, http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Bundesarchiv_Bild_183-76791-0009%2C_Berlin%2C_15._Volkskammersitzung%2C_Robert_Havemann.jpg/200px-Bundesarchiv_Bild_183-76791-0009%2C_Berlin%2C_15._Volkskammersitzung%2C_Robert_Havemann.jpg, 1910-03-11, 1982-04-09, 3697
August Wilhelm von Hofmann, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Hoffman_August_Wilhelm_von.jpg/220px-Hoffman_August_Wilhelm_von.jpg, 1818-04-08, 1892-05-05, 23478
Petrus Jacobus Kipp, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Petrus_Jacobus_Kipp_%281808-1864%29.jpg/220px-Petrus_Jacobus_Kipp_%281808-1864%29.jpg, 1808-03-05, 1864-02-03, 4821
Homer Burton Adkins, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Homer_Burton_Adkins.png/220px-Homer_Burton_Adkins.png, 1892-01-16, 1949-08-10, 6116
Odd Hassel, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Odd_Hassel.jpg/180px-Odd_Hassel.jpg, 1897-05-17, 1981-05-11, 7030
Vladimir Markovnikov, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/VladimirMarkovnikov.jpg/200px-VladimirMarkovnikov.jpg, 1838-12-22, 1904-02-11, 3694
