name, img, birth, death, length 
Preston Cloud, http://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Preston_Cloud.jpg/220px-Preston_Cloud.jpg, 1912-09-26, 1991-01-16, 14543
Edwin H. Colbert, http://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Edwin_Harris_Colbert_1.jpg/175px-Edwin_Harris_Colbert_1.jpg, 1905-09-28, 2001-11-15, 4770
Daniel Cargnin, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Museu_Padre_Cargnin.JPG/300px-Museu_Padre_Cargnin.JPG, , , 1771
John William Dawson, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Portrait_of_John_William_Dawson.jpg/220px-Portrait_of_John_William_Dawson.jpg, 1820-10-13, 1899-11-19, 12430
Philip J. Currie, http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Philip_Currie.jpg/220px-Philip_Currie.jpg, 1949-03-13, , 10871
Richard Fortey, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Richard_Fortey_in_Adelaide%2C_South_Australia_2014.jpg/220px-Richard_Fortey_in_Adelaide%2C_South_Australia_2014.jpg, 1946-02-15, , 9889
Edward Forbes, http://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Edward_Forbes.jpg/200px-Edward_Forbes.jpg, , 1854-11-18, 13505
William Fox (palaeontologist), http://upload.wikimedia.org/wikipedia/en/c/c4/William_D_Fox_palaeontologist.jpg, , , 2843
Mildred Adams Fenton, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Mildred_Adams_Fenton.jpg/220px-Mildred_Adams_Fenton.jpg, 1899-11-14, 1995-12-08, 1460
Geraldine Finlayson, http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Gibraltar_-_300_a%C3%B1os_de_Utrecht_13.7.2013_33_%289292015500%29_%282%29-2.jpg/220px-Gibraltar_-_300_a%C3%B1os_de_Utrecht_13.7.2013_33_%289292015500%29_%282%29-2.jpg, , , 13819
Antonin Fritsch, http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Fric_Antonin.jpg/220px-Fric_Antonin.jpg, , , 2196
Gotthelf Fischer von Waldheim, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Fischer_von_Waldheim_1771-1853.jpg/220px-Fischer_von_Waldheim_1771-1853.jpg, , 1853-10-18, 4688
Hugh Falconer, http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Hugh_Falconer.jpeg/220px-Hugh_Falconer.jpeg, 1808-02-29, 1865-01-31, 9718
Clive Finlayson, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Clive_Finlayson_portrait.jpg/220px-Clive_Finlayson_portrait.jpg, 1955-01-15, , 5955
Franz Nopcsa von Felső-Szilvás, http://upload.wikimedia.org/wikipedia/commons/3/33/BaronNopcsa.jpg, , 1933-04-25, 11193
Philip Donoghue, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Professor_Philip_Conrad_Donoghue_FRS.jpg/220px-Professor_Philip_Conrad_Donoghue_FRS.jpg, 1971-04-05, , 7219
Mikhail Fedonkin, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/2017-FedonkinMA.jpg/220px-2017-FedonkinMA.jpg, 1946-06-19, , 5340
Louis Dollo, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Louis_Dollo_2.JPG/220px-Louis_Dollo_2.JPG, , , 8355
Henry De la Beche, http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Henry_Thomas_de_la_Beche.jpg/220px-Henry_Thomas_de_la_Beche.jpg, 1796-02-10, 1855-04-13, 12604
Tilly Edinger, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/TillyEdinger.jpg/220px-TillyEdinger.jpg, 1897-11-13, 1967-05-27, 6673
Jean Albert Gaudry, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/PSM_V74_D522_Jean_Albert_Gaudry.png/220px-PSM_V74_D522_Jean_Albert_Gaudry.png, , 1908-11-28, 4281
Maria Gordon, http://upload.wikimedia.org/wikipedia/commons/0/00/Maria_Matilda_Ogilvie_Gordon_1900.jpg, 1864-04-13, 1939-06-24, 6737
Henry Gee, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Henry_Gee%2C_December_2008.jpg/150px-Henry_Gee%2C_December_2008.jpg, , , 6943
Stephen Jay Gould, http://upload.wikimedia.org/wikipedia/en/thumb/2/21/Stephen_Jay_Gould_2015%2C_portrait_%28unknown_date%29.jpg/220px-Stephen_Jay_Gould_2015%2C_portrait_%28unknown_date%29.jpg, , 2002-05-20, 65237
George Gaylord Simpson, http://upload.wikimedia.org/wikipedia/en/a/ab/George_Gaylord_Simpson.jpg, 1902-06-16, 1984-10-06, 17743
Benjamin Franklin Mudge, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Benjamin_Franklin_Mudge.jpg/220px-Benjamin_Franklin_Mudge.jpg, 1817-08-11, 1879-11-21, 21660
Marcello Ruta, http://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/23px-Flag_of_England.svg.png, , , 2102
Judith Schiebout, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png, , , 2650
Ian Tattersall, http://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Ian_Tattersall_Gibraltar_September_2012.jpg/220px-Ian_Tattersall_Gibraltar_September_2012.jpg, , , 7239
Pierre-Joseph van Beneden, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Pierre-Joseph_Van_Beneden_%281809-1894%29.jpg/220px-Pierre-Joseph_Van_Beneden_%281809-1894%29.jpg, 1809-12-19, 1894-01-08, 5015
Alfred Romer, http://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Alfred_Sherwood_Romer.jpg/220px-Alfred_Sherwood_Romer.jpg, , , 6505
Emily Rayfield, http://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/23px-Flag_of_England.svg.png, , , 2636
Paul Sereno, http://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Paul_Sereno_Lab_Photo.jpg/220px-Paul_Sereno_Lab_Photo.jpg, 1957-10-11, , 6261
Frederick McCoy, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Frederick_McCoy.jpg/220px-Frederick_McCoy.jpg, , 1899-05-16, 6064
Viktor Uhlig, http://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Uhlig_Viktor.jpg/220px-Uhlig_Viktor.jpg, , 1911-06-04, 2098
Robert M. Schoch, http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Robert_M._Schoch_in_Turkey%2C_Photo_by_Catherine_Ulissey.jpg/220px-Robert_M._Schoch_in_Turkey%2C_Photo_by_Catherine_Ulissey.jpg, 1949-04-24, , 7535
Mohammad-Javad Mohammadizadeh, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Mohammad-Javad_Mohammadizadeh.jpg/220px-Mohammad-Javad_Mohammadizadeh.jpg, , , 6034
Elmer S. Riggs, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Altithorax.jpg/220px-Altithorax.jpg, 1869-01-23, 1963-03-25, 5017
Yuri Alexandrovich Popov, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Yuri_Alexandrovich_Popov%2C_ca._1997.jpg/220px-Yuri_Alexandrovich_Popov%2C_ca._1997.jpg, 1936-03-05, 2016-11-16, 4985
Nathaniel Shaler, http://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Picture_of_Nathaniel_Shaler.jpg/220px-Picture_of_Nathaniel_Shaler.jpg, 1841-02-20, 1906-04-10, 11489
Franz Unger, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Franz_Unger.jpg/220px-Franz_Unger.jpg, 1800-11-30, 1870-02-13, 4155
Dmitry Mushketov, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/1930-MushketovD.jpg/220px-1930-MushketovD.jpg, 1882-03-31, 1938-02-18, 4294
Rafael Royo-Torres, http://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Rafael_Royo_Torres_-_oct_2015.JPG/220px-Rafael_Royo_Torres_-_oct_2015.JPG, , , 668
Gaston de Saporta, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Gaston_de_saporta_portrait.jpg/220px-Gaston_de_saporta_portrait.jpg, , 1895-01-27, 5702
