name, img, birth, death, length 
Terry Speed, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Terry_Speed_1.jpg/220px-Terry_Speed_1.jpg, 1943-03-14, , 6397
François Simiand, http://upload.wikimedia.org/wikipedia/en/7/75/Simiand_fran%C3%A7ois.gif, 1873-04-18, 1935-04-13, 8767
David Spiegelhalter, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Cmglee_David_Spiegelhalter_2013_Cambridge_Science_Festival.jpg/220px-Cmglee_David_Spiegelhalter_2013_Cambridge_Science_Festival.jpg, 1953-08-16, , 13943
Raymond Pearl, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Raymond_Pearl_%28cropped%29.jpg/220px-Raymond_Pearl_%28cropped%29.jpg, 1879-06-03, 1940-11-17, 10815
Gene V. Glass, http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Gene_Glass.jpg/220px-Gene_Glass.jpg, 1940-06-19, , 10910
David Cox (statistician), http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Nci-vol-8182-300_david_cox.jpg/180px-Nci-vol-8182-300_david_cox.jpg, 1924-07-15, , 15822
Thomas Brassey, 1st Earl Brassey, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Brassey1.JPG/200px-Brassey1.JPG, , 1918-02-24, 14823
Jim Berger (statistician), http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/James_Berger_Oberwolfach_2005.jpg/220px-James_Berger_Oberwolfach_2005.jpg, 1950-04-06, , 4016
William A. Barnett, http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Wabarnett.jpg/200px-Wabarnett.jpg, 1941-10-30, , 9386
Richard D. Gill, http://upload.wikimedia.org/wikipedia/en/thumb/4/4d/RDG110951.jpg/150px-RDG110951.jpg, 1951-09-11, , 6675
Gustav Fechner, http://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Gustav_Fechner.jpg/250px-Gustav_Fechner.jpg, 1801-04-19, 1887-11-18, 20838
Agner Krarup Erlang, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Erlang.jpg/200px-Erlang.jpg, 1878-01, 1929-02-04, 5347
William Feller, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Feller_sig.jpg/128px-Feller_sig.jpg, 1906-07-07, 1970-01-15, 17774
Irving Fisher, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Irvingfisher.jpg/220px-Irvingfisher.jpg, 1867-02-27, 1947-04-29, 35149
Francis Ysidro Edgeworth, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Edgeworth.jpeg/220px-Edgeworth.jpeg, 1845-02-08, 1926-02-13, 33141
Persi Diaconis, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Persi_Diaconis_2010.jpg/225px-Persi_Diaconis_2010.jpg, 1945-01-31, , 7013
Gertrude Mary Cox, http://upload.wikimedia.org/wikipedia/en/7/7f/Gertrude_Mary_Cox.jpg, 1900-01-13, 1978-10-17, 4385
John Nelder, http://upload.wikimedia.org/wikipedia/en/thumb/3/31/John_Ashworth_Nelder.jpg/220px-John_Ashworth_Nelder.jpg, 1924-10-08, 2010-08-07, 12533
Rattan Chand, http://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Dr._rattan_chand_B%26W.jpg/220px-Dr._rattan_chand_B%26W.jpg, 1955-05-10, , 8837
John Wingate Thornton, http://upload.wikimedia.org/wikipedia/en/thumb/6/62/JWT_1870.jpg/200px-JWT_1870.jpg, 1818-08-12, 1878-06-06, 33228
Edward Stanley, 15th Earl of Derby, http://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Edward_Stanley%2C_15th_Earl_of_Derby_2.jpg/200px-Edward_Stanley%2C_15th_Earl_of_Derby_2.jpg, 1826-07-21, 1893-04-21, 16338
