name, img, birth, death, length 
Rohan Pethiyagoda, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Rohan_Pethiyagoda.JPG/220px-Rohan_Pethiyagoda.JPG, 1955-11-19, , 10214
Wilhelm Peters, http://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Peters_Wilhelm_1815-1883.png/220px-Peters_Wilhelm_1815-1883.png, , , 3755
John Hewitt (herpetologist), http://upload.wikimedia.org/wikipedia/en/thumb/3/34/John_Hewitt00.jpg/220px-John_Hewitt00.jpg, 1880-12-23, 1961-08-04, 3534
Richard L. Hoffman, http://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Richard_L_Hoffman_portrait.jpg/220px-Richard_L_Hoffman_portrait.jpg, 1927-09-25, 2012-06-10, 12720
Martinus Houttuyn, http://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Houttuyn_Natuurlijke_Historie.jpg/220px-Houttuyn_Natuurlijke_Historie.jpg, , , 1872
Robert Kennicott, http://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Robert_Kennicott_Harriman_Alaska_Expedition.jpg/220px-Robert_Kennicott_Harriman_Alaska_Expedition.jpg, 1835-11-13, 1866-05-13, 10992
John Edwards Holbrook, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Holbrook_John_Edwards_1794-1871.png/270px-Holbrook_John_Edwards_1794-1871.png, 1796-12-31, 1871-09-08, 11267
Robert F. Inger, http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Robert_F._Inger.JPG/220px-Robert_F._Inger.JPG, 1920-09-10, , 21957
Thomas C. Jerdon, http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Jerdon_Thomas_1811-1872.jpg/220px-Jerdon_Thomas_1811-1872.jpg, 1811-11-12, 1872-12-12, 17241
Hans-Wilhelm Koepcke, http://upload.wikimedia.org/wikipedia/en/f/f9/HansKoepcke.jpg, 1914-06-13, 2000-11-21, 2984
Leonhard Stejneger, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Stejnegger_Leonhard_1851-1943.png/200px-Stejnegger_Leonhard_1851-1943.png, , , 6473
Robert C. Stebbins, http://upload.wikimedia.org/wikipedia/en/thumb/8/84/Robert_C._Stebbins.jpg/220px-Robert_C._Stebbins.jpg, 1915-03-31, 2013-09-23, 27547
Coenraad Jacob Temminck, http://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Temminck_Coenraad_Jacob_1770-1858.jpg/220px-Temminck_Coenraad_Jacob_1770-1858.jpg, 1778-03-31, 1858-01-30, 6506
Paulo Vanzolini, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Paulo_Vanzolini.jpg/240px-Paulo_Vanzolini.jpg, 1924-04-25, 2013-04-28, 8593
Austin Stevens, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Austin_Stevens_in_Mexico_in_2008.jpg/200px-Austin_Stevens_in_Mexico_in_2008.jpg, 1950-05-19, , 7019
Miguel Vences, http://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Madagascar_Miguel_Vences.jpg/220px-Madagascar_Miguel_Vences.jpg, , , 3077
Stanley E. Trauth, http://upload.wikimedia.org/wikipedia/commons/0/0f/Stan_Trauth_holding_a_Horned_Lizard_in_Utah.jpg, 1948-09-05, , 20533
Gerard Troost, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Gerard_Troost.jpg/220px-Gerard_Troost.jpg, 1776-03-05, 1850-08-14, 3381
Karl Vogt, http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Vogt1.jpg/220px-Vogt1.jpg, , 1895-05-06, 9094
Carl Peter Thunberg, http://upload.wikimedia.org/wikipedia/commons/f/f5/Carl_Peter_Thunberg.jpg, 1743-11-11, 1828-08-08, 19117
John Eatton Le Conte, http://upload.wikimedia.org/wikipedia/commons/e/ed/John_Eatton_LeConte.jpg, 1784-02-22, 1860-11-21, 6672
Grace Olive Wiley, http://upload.wikimedia.org/wikipedia/en/d/d6/Photograph_of_Grace_Olive_Wiley.jpg, , , 6275
Michele Lessona, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Lessona.jpg/220px-Lessona.jpg, 1823-09-20, 1894-07-20, 2649
Pierre André Latreille, http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Latreille_Pierre_Andr%C3%A9_1762-1833.png/250px-Latreille_Pierre_Andr%C3%A9_1762-1833.png, 1762-11-29, 1833-02-06, 10325
Charles Alexandre Lesueur, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Lesueur_Charles_Alexandre_%281778-1846%29.png/250px-Lesueur_Charles_Alexandre_%281778-1846%29.png, , 1846-12-12, 6018
Johannes Peter Müller, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Johannes_Peter_M%C3%BCller.jpg/220px-Johannes_Peter_M%C3%BCller.jpg, 1801-07-14, 1858-04-28, 10742
Adolfo Lutz, http://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Adolfo_Lutz_1955_Brazil_stamp.jpg/220px-Adolfo_Lutz_1955_Brazil_stamp.jpg, , 1940-12-18, 5064
Bertha Lutz, http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Bertha_Lutz_1925.jpg/220px-Bertha_Lutz_1925.jpg, , 1976-09-17, 10031
Lajos Méhelÿ, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/M%C3%A9hely-Lajos-1862-1952.jpg/220px-M%C3%A9hely-Lajos-1862-1952.jpg, , 1953-02-04, 5139
Charles McCann, http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Charles_mccann.jpg/220px-Charles_mccann.jpg, , , 8103
Johann Baptist von Spix, http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Johann_Baptist_von_Spix.jpg/190px-Johann_Baptist_von_Spix.jpg, 1781-01-09, 1826-03-13, 10400
Karl Patterson Schmidt, http://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Karl_Patterson_Schmidt.jpg/220px-Karl_Patterson_Schmidt.jpg, 1890-06-19, 1957-09-26, 9222
Eduard Oscar Schmidt, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Eduard_Oscar_Schmidt.jpg/220px-Eduard_Oscar_Schmidt.jpg, , , 3719
Thomas Say, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Thomas_Say.jpg/220px-Thomas_Say.jpg, 1787-06-27, 1834-10-10, 9154
George Shaw, http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/George_Kearsley_Shaw.jpg/220px-George_Kearsley_Shaw.jpg, , 1813-07-23, 3562
Albert Günther, http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Gunther_Albert_1830-1914.png/220px-Gunther_Albert_1830-1914.png, , 1914-02-01, 11259
Willi Hennig, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Willi_Hennig2.jpg/250px-Willi_Hennig2.jpg, 1913-04-20, 1976-11-05, 16467
Edmund Heller, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Edmund_Heller_1916.jpg/220px-Edmund_Heller_1916.jpg, 1875-05-21, 1939-07-18, 3511
Alfred Grandidier, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Alfred_Grandidier.jpg/220px-Alfred_Grandidier.jpg, 1836-12-20, 1921-09-13, 4901
Samuel Garman, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Garman_Samuel_1843-1927.png/200px-Garman_Samuel_1843-1927.png, 1843-06-05, 1927-09-30, 3392
Philip Henry Gosse, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/PhilipHenryGosse%2C1855.jpg/220px-PhilipHenryGosse%2C1855.jpg, 1810-04-06, 1888-08-24, 30013
Laurence Monroe Klauber, http://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Laurence_M_Klauber_1955_CAS.jpg/220px-Laurence_M_Klauber_1955_CAS.jpg, , 1968-05-08, 10643
Steve Irwin, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Steve_Irwin.jpg/260px-Steve_Irwin.jpg, 1962-02-22, 2006-09-04, 42361
Peter Forsskål, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Peter_Forsskaal_year1760.jpg/198px-Peter_Forsskaal_year1760.jpg, , 1763-07-11, 9059
Johann Friedrich Gmelin, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Johann_Friedrich_Gmelin.jpg/200px-Johann_Friedrich_Gmelin.jpg, 1748-08-08, 1804-11-01, 5864
Frederick McCoy, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Frederick_McCoy.jpg/220px-Frederick_McCoy.jpg, , 1899-05-16, 6064
Johann Gottlob Theaenus Schneider, http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Schneider_Johann_Gottlob_1750-1822.png/220px-Schneider_Johann_Gottlob_1750-1822.png, 1750-01-18, 1822-01-12, 4591
