name, img, birth, death, length 
Hertha Ayrton, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Helena_Ars%C3%A8ne_Darmesteter_-_Portrait_of_Hertha_Ayrton.jpg/220px-Helena_Ars%C3%A8ne_Darmesteter_-_Portrait_of_Hertha_Ayrton.jpg, 1854-04-28, 1923-08-23, 13746
Louise Hay (mathematician), http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Louise_Hay.jpg/300px-Louise_Hay.jpg, 1935-06-14, 1989-10-28, 5450
Alice Guionnet, http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Alice_Guionnet.jpg/220px-Alice_Guionnet.jpg, , , 900
Grete Hermann, http://upload.wikimedia.org/wikipedia/en/e/ea/Grete_Hermann.jpg, 1901-03-02, 1984-04-15, 11434
Ellen Hayes, http://upload.wikimedia.org/wikipedia/en/6/68/Ellen_Amanda_Hayes.jpg, 1851-09-23, 1930-10-27, 5353
Barbara R. Holland, http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Barbara_R_Holland.jpg/220px-Barbara_R_Holland.jpg, 1976-01-23, , 3831
Euphemia Haynes, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Haynes_euphemia.jpg/220px-Haynes_euphemia.jpg, 1890-09-11, 1980-07-25, 4059
Dagmar R. Henney, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Prof._Dagmar_Renate_Kirchner_Henney_Photo.jpg/220px-Prof._Dagmar_Renate_Kirchner_Henney_Photo.jpg, 1931-05-06, , 8689
Olga Holtz, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Olga_Holtz_Princeton_2009_2P158.jpg/220px-Olga_Holtz_Princeton_2009_2P158.jpg, 1973-08-19, , 3058
Suzan Kahramaner, http://upload.wikimedia.org/wikipedia/commons/thumb/9/96/SZ1.jpg/220px-SZ1.jpg, 1913-05-21, 2006-02-22, 10119
Verena Huber-Dyson, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Verena_Huber-Dyson_%28cropped%29.jpg/220px-Verena_Huber-Dyson_%28cropped%29.jpg, 1923-05-06, 2016-03-12, 9682
Hilda Phoebe Hudson, http://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Hilda_Phoebe_Hudson.jpeg/220px-Hilda_Phoebe_Hudson.jpeg, , , 3061
Annette Huber-Klawitter, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Annette_Huber-Klawitter.jpg/250px-Annette_Huber-Klawitter.jpg, 1967-05-23, , 1580
Sofia Kovalevskaya, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sofja_Wassiljewna_Kowalewskaja_1.jpg/220px-Sofja_Wassiljewna_Kowalewskaja_1.jpg, 1850-01-15, 1891-02-10, 16921
Frances Kirwan, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Frances_Kirwan.jpg/220px-Frances_Kirwan.jpg, , , 5378
Maria Klawe, http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Maria_Klawe_2015.jpg/220px-Maria_Klawe_2015.jpg, 2006-07-01, , 13771
Lynette Long, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/LynetteLong30.jpg/220px-LynetteLong30.jpg, , , 11556
Krystyna Kuperberg, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/KrystynaKuperberg.jpg/220px-KrystynaKuperberg.jpg, 1944-07-17, , 3636
Ruth Lawrence, http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ruth_Lawrence.jpg/220px-Ruth_Lawrence.jpg, 1971-08-02, , 4433
Kristin Lauter, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Kristin-Lauter-02-Predictions.jpg/220px-Kristin-Lauter-02-Predictions.jpg, 1969-12-08, , 2856
Chrystal Macmillan, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Macmillan%2C_Chrystal_1908-1914_%2822704149049%29.jpg/165px-Macmillan%2C_Chrystal_1908-1914_%2822704149049%29.jpg, 1872-06-13, 1937-09-21, 23311
Christine Ladd-Franklin, http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Christine_Ladd-Franklin_%281847-1930%29.jpg/220px-Christine_Ladd-Franklin_%281847-1930%29.jpg, , , 14626
Olga Ladyzhenskaya, http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Ladyshenskaya.jpg/220px-Ladyshenskaya.jpg, 1922-03-07, 2004-01-12, 6872
Irena Lasiecka, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Irena_Lasiecka.jpg/220px-Irena_Lasiecka.jpg, , , 12654
Danica McKellar, http://upload.wikimedia.org/wikipedia/commons/thumb/5/53/DanicaMcKellar-2007-10-01.jpg/200px-DanicaMcKellar-2007-10-01.jpg, 1975-01-03, , 21312
Idun Reiten, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Idun_Reiten.jpg/220px-Idun_Reiten.jpg, 1942-01, , 2752
Edith Hirsch Luchins, http://upload.wikimedia.org/wikipedia/en/thumb/1/12/Flag_of_Poland.svg/23px-Flag_of_Poland.svg.png, 1921-12-21, 2002-11-18, 3949
Vivienne Malone-Mayes, http://upload.wikimedia.org/wikipedia/en/thumb/9/92/Vivienne_Malone-Mayes.jpeg/220px-Vivienne_Malone-Mayes.jpeg, 1932-02-10, 1995-06-09, 3866
