name, img, birth, death, length 
Erich von Drygalski, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Erich_dagobert_von_drygalski.jpg/220px-Erich_dagobert_von_drygalski.jpg, 1865-02-09, 1949-01-11, 9644
James David Forbes, http://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/James_David_Forbes.png/220px-James_David_Forbes.png, 1809-04-20, 1868-12-31, 9157
George Darwin, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/George_Darwin_sepia_tone.jpg/240px-George_Darwin_sepia_tone.jpg, 1845-07-09, 1912-12-07, 11823
Henry Cavendish, http://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Cavendish_Henry_signature.jpg/200px-Cavendish_Henry_signature.jpg, 1731-10-10, 1810-02-24, 28426
William Thomson, 1st Baron Kelvin, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Lord_Kelvin_photograph.jpg/220px-Lord_Kelvin_photograph.jpg, 1824-06-26, 1907-12-17, 62861
Marcia McNutt, http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Marcia_McNutt.jpg/220px-Marcia_McNutt.jpg, 1952-02-192016-07-012009, , 52544
Shen Kuo, http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Shen_Kua.JPG/280px-Shen_Kua.JPG, , , 81089
Blaise Pascal, http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Blaise_Pascal_Versailles.JPG/220px-Blaise_Pascal_Versailles.JPG, 1623-06-19, 1662-08-19, 54220
Susan Solomon, http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Susan_Solomon-Desk_With_Globe.jpg/220px-Susan_Solomon-Desk_With_Globe.jpg, 1956-01-19, , 31965
American Geophysical Union, http://upload.wikimedia.org/wikipedia/en/thumb/2/2f/American_Geophysical_Union_logo.svg/250px-American_Geophysical_Union_logo.svg.png, 1919, , 35707
Zhang Heng, http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Zhang_Heng.jpg/185px-Zhang_Heng.jpg, , , 67560
Society of Exploration Geophysicists, http://upload.wikimedia.org/wikipedia/en/thumb/f/fb/SEG-Logo_Final.jpg/250px-SEG-Logo_Final.jpg, 1930, , 13160
Henry Stommel, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Stommel_about_n1_35630.jpg/220px-Stommel_about_n1_35630.jpg, 1920-09-27, 1992-01-17, 7318
Alfred Wegener, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Alfred_Wegener_ca.1924-30.jpg/220px-Alfred_Wegener_ca.1924-30.jpg, 1880-11-01, , 27159
Balfour Stewart, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/PSM_V11_D270_Balfour_Stewart.jpg/200px-PSM_V11_D270_Balfour_Stewart.jpg, , 1887-12-19, 14516
Eugene Parker, http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Prof._Eugene_Parker_from_University_of_Chicago.jpg/220px-Prof._Eugene_Parker_from_University_of_Chicago.jpg, 1927-06-10, , 4651
Eugene Merle Shoemaker, http://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Eugene_Shoemaker.jpg/250px-Eugene_Shoemaker.jpg, 1928-04-28, 1997-07-18, 13524
Wallace Smith Broecker, http://upload.wikimedia.org/wikipedia/commons/9/9d/Wallace_Smith_Broecker.jpg, 1931-11-29, , 10406
Claude Allègre, http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Claude_All%C3%A8gre.jpg/220px-Claude_All%C3%A8gre.jpg, 1937-03-31, , 8748
Louis Agricola Bauer, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/PSM_V76_D207_Louis_Agricola_Bauer.png/150px-PSM_V76_D207_Louis_Agricola_Bauer.png, , 1932-04-12, 2272
John Tuzo Wilson, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/John_Tuzo_Wilson_in_1992.jpg/220px-John_Tuzo_Wilson_in_1992.jpg, 1908-10-24, 1993-04-15, 8482
Charles Francis Richter, http://upload.wikimedia.org/wikipedia/commons/thumb/6/62/CharlesRichter.jpg/220px-CharlesRichter.jpg, 1900-04-26, 1985-09-30, 10445
Walter Munk, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Crafoordprize_2010-03.jpg/220px-Crafoordprize_2010-03.jpg, 1917-10-19, , 26417
Carl Friedrich Gauss, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Carl_Friedrich_Gauss_1840_by_Jensen.jpg/220px-Carl_Friedrich_Gauss_1840_by_Jensen.jpg, 1777-04-30, 1855-02-23, 53343
Alexander von Humboldt, http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Stieler%2C_Joseph_Karl_-_Alexander_von_Humboldt_-_1843.jpg/250px-Stieler%2C_Joseph_Karl_-_Alexander_von_Humboldt_-_1843.jpg, , 1859-05-06, 135484
Al-Biruni, http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Biruni-russian.jpg/220px-Biruni-russian.jpg, , , 49312
Fred Singer, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/S_Fred_Singer_2011.jpg/220px-S_Fred_Singer_2011.jpg, 1924-09-27, , 57008
Benjamin Franklin, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/BenFranklinDuplessis.jpg/220px-BenFranklinDuplessis.jpg, 1706-01-17, 1790-04-17, 146850
