name, img, birth, death, length 
Theodosius Dobzhansky, http://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Theodosius_Dobzhansky.jpg/200px-Theodosius_Dobzhansky.jpg, 1900-01-25, 1975-12-18, 26132
George M. Church, http://upload.wikimedia.org/wikipedia/commons/thumb/d/da/George_Church_for_the_PGP.jpg/206px-George_Church_for_the_PGP.jpg, 1954-08-28, , 40778
Baruch Samuel Blumberg, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Baruch_Samuel_Blumberg_by_Tom_Trower_%28NASA%29.jpg/220px-Baruch_Samuel_Blumberg_by_Tom_Trower_%28NASA%29.jpg, 1925-07-28, 2011-04-05, 17907
J. Michael Bishop, http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Nci-vol-8172-300_j_michael_bishop.jpg/150px-Nci-vol-8172-300_j_michael_bishop.jpg, 1936-02-22, , 19713
Paul Berg, http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Paul_Berg_in_1980.jpg/250px-Paul_Berg_in_1980.jpg, 1926-06-30, , 25163
Bruce Alberts, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Bruce_Alberts.png/220px-Bruce_Alberts.png, 1938-04-14, , 20707
Michael Stuart Brown, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Mike_Brown_2003.jpg/180px-Mike_Brown_2003.jpg, 1941-04-13, , 37497
Ronald Fisher, http://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Biologist_and_statistician_Ronald_Fisher.jpg/220px-Biologist_and_statistician_Ronald_Fisher.jpg, 1890-02-17, 1962-07-29, 46817
Francis Galton, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Francis_Galton_1850s.jpg/220px-Francis_Galton_1850s.jpg, 1822-02-16, 1911-01-17, 45825
David Baltimore, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Dr._David_Baltimore2.jpg/220px-Dr._David_Baltimore2.jpg, 1938-03-07, , 56636
Irving Gottesman, http://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Irving_Gottesman.jpg/300px-Irving_Gottesman.jpg, 1930-12-29, 2016-06-29, 39341
Alec Jeffreys, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Alec_Jeffreys.jpg/220px-Alec_Jeffreys.jpg, 1950-01-09, , 20453
Aaron Klug, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Aaron_Klug_1979.jpg/220px-Aaron_Klug_1979.jpg, 1926-08-11, , 16941
Franz Josef Kallmann, http://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Franz_J._Kallmann.jpg/220px-Franz_J._Kallmann.jpg, 1897-07-24, 1965-05-12, 3181
Steve Jones (biologist), http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Steve_Jones.png/220px-Steve_Jones.png, 1944-03-24, , 16395
Cynthia Kenyon, http://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Cyntia_Kenyon_01.JPG/275px-Cyntia_Kenyon_01.JPG, 1954-02-21, , 6768
Wilhelm Johannsen, http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Wilhelm_Johannsen_1857-1927.jpg/220px-Wilhelm_Johannsen_1857-1927.jpg, 1857-02-03, 1927-11-11, 5173
Christian de Duve, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Christian_de_Duve.tif/lossy-page1-220px-Christian_de_Duve.tif.jpg, 1917-10-02, 2013-05-04, 41425
Mario Capecchi, http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/MarioCapecchiFotoThalerTamas.JPG/220px-MarioCapecchiFotoThalerTamas.JPG, 1937-10-06, , 30018
Carol W. Greider, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/GREIDER_Carol_2014_-_Less_vignetting.jpg/200px-GREIDER_Carol_2014_-_Less_vignetting.jpg, 1961-04-15, , 20738
Dorothy Hodgkin, http://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Dorothy_Hodgkin_Nobel.jpg/225px-Dorothy_Hodgkin_Nobel.jpg, 1910-05-12, 1994-07-29, 29914
J. B. S. Haldane, http://upload.wikimedia.org/wikipedia/commons/3/3b/J._B._S._Haldane.jpg, 1892-11-05, 1964-12-01, 48013
Joseph L. Goldstein, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Joseph_Goldstein.jpg/280px-Joseph_Goldstein.jpg, 1940-04-18, , 33342
Michael Stebbins, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Michael_Stebbins_CAIN2008_podium.jpg/220px-Michael_Stebbins_CAIN2008_podium.jpg, 1971-03-23, , 2424
Ruth Sanger, http://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Ruth_Sanger_c1950.jpg/220px-Ruth_Sanger_c1950.jpg, , 2001-06-05, 2870
Piotr Słonimski, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Piotr_Skominski.jpg/220px-Piotr_Skominski.jpg, 1922-11-09, 2009-04-25, 3759
Hamilton O. Smith, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Hamilton_Smith%2C_2.jpg/220px-Hamilton_Smith%2C_2.jpg, 1931-08-23, , 8614
Liane Russell, http://upload.wikimedia.org/wikipedia/en/thumb/b/b2/Liane_Russell.jpg/220px-Liane_Russell.jpg, 1923-08-27, , 5122
Oliver Smithies, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Oliver_Smithies_HD2009_AIC_Gold_Medal_portrait_%28cropped%29.JPG/220px-Oliver_Smithies_HD2009_AIC_Gold_Medal_portrait_%28cropped%29.JPG, 1925-06-23, 2017-01-10, 17644
Rajeev Kumar Varshney, http://upload.wikimedia.org/wikipedia/commons/7/71/Rajeev_kumar_varshney_%28reupload%29.jpg, 1973-07-13, , 16241
Michael Smith (chemist), http://upload.wikimedia.org/wikipedia/en/d/d6/Michaelsmith.jpg, 1932-04-26, 2000-10-04, 22542
Edward Tatum, http://upload.wikimedia.org/wikipedia/en/thumb/3/32/Edward_Lawrie_Tatum_nobel.jpg/220px-Edward_Lawrie_Tatum_nobel.jpg, , 1975-11-05, 6886
William S. Sly, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/WSSly-Color.jpg/220px-WSSly-Color.jpg, 1932-10-19, , 6351
Jerome Vinograd, http://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Vinograd-signature.svg/128px-Vinograd-signature.svg.png, 1913-02-09, 1976-07-07, 1208
Tim Hunt, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Tim_Hunt_at_UCSF_05_2009_%284%29.jpg/220px-Tim_Hunt_at_UCSF_05_2009_%284%29.jpg, 1943-02-19, , 40793
Lewis Stadler, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Lewis-Stadler-NIH.jpg/150px-Lewis-Stadler-NIH.jpg, , 1954-05-13, 4069
Spencer Wells, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Spencer_Wells.jpg/220px-Spencer_Wells.jpg, 1969-04-06, , 8533
James B. Sumner, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/James_Batcheller_Sumner.jpg/220px-James_Batcheller_Sumner.jpg, 1887-11-19, 1955-08-12, 9807
Edwin Southern, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Edwin_Mellor_Southern_-_journal.pgen.1003344.g001.png/200px-Edwin_Mellor_Southern_-_journal.pgen.1003344.g001.png, 1938-06-07, , 8716
Gunther Stent, http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/EMLederberg_GStent_SBrenner_JLederberg_1965_wiki.jpg/220px-EMLederberg_GStent_SBrenner_JLederberg_1965_wiki.jpg, 1924-03-28, 2008-06-12, 8011
Hans Spemann, http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Hans_Spemann_nobel.jpg/180px-Hans_Spemann_nobel.jpg, 1869-06-27, 1941-09-09, 11837
Nettie Stevens, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Nettie_Stevens.jpg/220px-Nettie_Stevens.jpg, 1861-07-07, 1912-05-04, 16157
Jack W. Szostak, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Jack-szostak.jpg/220px-Jack-szostak.jpg, 1952-11-09, , 13162
David Suzuki, http://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Right_Livelihood_Award_2009-press_conference-6.jpg/220px-Right_Livelihood_Award_2009-press_conference-6.jpg, 1936-03-24, , 23112
Walter Sutton, http://upload.wikimedia.org/wikipedia/commons/4/43/Walter_sutton.jpg, , , 7571
Lap-Chee Tsui, http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Professor_Lap-Chee_Tsui.jpg/220px-Professor_Lap-Chee_Tsui.jpg, 1950-12-21, , 10261
Erich von Tschermak, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Acta_Horti_berg._-_1905_-_tafl._124._-_Erich_Tschermak.jpg/150px-Acta_Horti_berg._-_1905_-_tafl._124._-_Erich_Tschermak.jpg, , , 2687
Susumu Tonegawa, http://upload.wikimedia.org/wikipedia/commons/thumb/1/16/ST_Photo.jpg/220px-ST_Photo.jpg, 1939-09-05, , 14181
Nikolai Vavilov, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Nikolai_Vavilov_NYWTS.jpg/220px-Nikolai_Vavilov_NYWTS.jpg, 1887-11-25, 1943-01-26, 14569
Peter Walter, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/SquarePortrait_PeterWalter1.jpg/220px-SquarePortrait_PeterWalter1.jpg, 1954-12-05, , 8907
C. H. Waddington, http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Conrad_Hal_Waddington.jpg/220px-Conrad_Hal_Waddington.jpg, , 1975-09-27, 18768
David Weatherall, http://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Jeremy_Farrar_and_David_Weatherall_at_RILD_launch_%2814425802043%29.jpg/220px-Jeremy_Farrar_and_David_Weatherall_at_RILD_launch_%2814425802043%29.jpg, 1933-03-09, , 6799
Jantina Tammes, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Jantina_Tammes.jpg/220px-Jantina_Tammes.jpg, 1871-06-23, 1947-09-20, 4378
Joe Hin Tjio, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Joe_Hin_Tjio.jpg/220px-Joe_Hin_Tjio.jpg, 1919-11-02, 2001-11-27, 3318
Eric F. Wieschaus, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Wieschaus_ecal2011.jpg/220px-Wieschaus_ecal2011.jpg, 1947-06-08, , 10746
Edmund Beecher Wilson, http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/PSM_V72_D291_Edmund_Beecher_Wilson.png/150px-PSM_V72_D291_Edmund_Beecher_Wilson.png, 1856-10-19, 1939-03-03, 7398
