name, img, birth, death, length 
Russell L. Ackoff, http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Russel_Lincoln_Ackoff.jpg/250px-Russel_Lincoln_Ackoff.jpg, 1919-02-12, 2009-10-29, 20542
Jaan Tallinn, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Jaan_Tallinn.jpg/220px-Jaan_Tallinn.jpg, 1972-02-14, , 5001
George Klir, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/IEEE-IS-08-George-Klir.jpg/220px-IEEE-IS-08-George-Klir.jpg, 1932-04-22, 2016-05-27, 8430
Christopher Langton, http://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Langtonsmall2.png/220px-Langtonsmall2.png, , , 5187
Samuel C. Phillips, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Samuel_C._Phillips.jpg/220px-Samuel_C._Phillips.jpg, , , 10858
Howard T. Odum, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Odum%2C_Howard_T.jpg/220px-Odum%2C_Howard_T.jpg, 1924-09-01, 2002-09-11, 44260
George Klir, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/IEEE-IS-08-George-Klir.jpg/220px-IEEE-IS-08-George-Klir.jpg, 1932-04-22, 2016-05-27, 8430
Ilya Prigogine, http://upload.wikimedia.org/wikipedia/en/thumb/c/c6/Ilya_Prigogine.jpg/220px-Ilya_Prigogine.jpg, 1917-01-25, 2003-05-28, 21929
Niklas Luhmann, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Luhmann.png/220px-Luhmann.png, 1927-12-08, 1998-11-06, 34363
Geoffrey Vickers, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Charles_Geoffrey_Vickers_1973.jpg/175px-Charles_Geoffrey_Vickers_1973.jpg, 1894-10-13, 1982-03-16, 20546
Stephen Wolfram, http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Stephen_Wolfram_PR.jpg/200px-Stephen_Wolfram_PR.jpg, 1959-08-29, , 22049
Luis M. Rocha, http://upload.wikimedia.org/wikipedia/commons/7/7f/Luis_M._Rocha%2C_2014.jpg, 1966-10-05, , 9607
Norbert Wiener, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Norbert_wiener.jpg/220px-Norbert_wiener.jpg, 1894-11-26, 1964-03-18, 38774
Murray Gell-Mann, http://upload.wikimedia.org/wikipedia/commons/thumb/5/55/MurrayGellMannJI1.jpg/225px-MurrayGellMannJI1.jpg, 1929-09-15, , 20265
Gregory Bateson, http://upload.wikimedia.org/wikipedia/en/thumb/b/b0/Arnhein_and_Bateson.jpg/220px-Arnhein_and_Bateson.jpg, 1904-05-09, 1980-07-04, 43346
Kelly Johnson (engineer), http://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/ClarenceLeonardKellyJohnson.jpg/220px-ClarenceLeonardKellyJohnson.jpg, 1910-02-27, 1990-12-21, 40440
Nervous system, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/TE-Nervous_system_diagram.svg/250px-TE-Nervous_system_diagram.svg.png, , , 62973
Norbert Wiener, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Norbert_wiener.jpg/220px-Norbert_wiener.jpg, 1894-11-26, 1964-03-18, 38774
Human body, http://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Human_Body.jpg/200px-Human_Body.jpg, , , 27467
Sensory nervous system, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Gray722-svg.svg/250px-Gray722-svg.svg.png, , , 26427
Star system, http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Algol_triple_star_system_imaged_with_the_CHARA_interferometer.jpg/300px-Algol_triple_star_system_imaged_with_the_CHARA_interferometer.jpg, , , 32454
Talcott Parsons, http://upload.wikimedia.org/wikipedia/en/4/45/Talcott_Parsons_%28photo%29.jpg, 1902-12-13, 1979-05-08, 149751
Margaret Mead, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Margaret_Mead_%281901-1978%29.jpg/220px-Margaret_Mead_%281901-1978%29.jpg, 1901-12-16, 1978-11-15, 49604
Kevin Warwick, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Kevin_Warwick_2011.jpg/220px-Kevin_Warwick_2011.jpg, 1954-02-09, , 40724
Buckminster Fuller, http://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/BuckminsterFuller1.jpg/220px-BuckminsterFuller1.jpg, 1895-07-12, 1983-07-01, 66470
Margaret Mead, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Margaret_Mead_%281901-1978%29.jpg/220px-Margaret_Mead_%281901-1978%29.jpg, 1901-12-16, 1978-11-15, 49604
Kevin Warwick, http://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Kevin_Warwick_2011.jpg/220px-Kevin_Warwick_2011.jpg, 1954-02-09, , 40724
Herbert A. Simon, http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Herbert_simon_red_complete.jpg/220px-Herbert_simon_red_complete.jpg, 1916-06-15, 2001-02-09, 56391
Claude Shannon, http://upload.wikimedia.org/wikipedia/commons/thumb/9/99/ClaudeShannon_MFO3807.jpg/220px-ClaudeShannon_MFO3807.jpg, 1916-04-30, 2001-02-24, 49991
James Collins (bioengineer), http://upload.wikimedia.org/wikipedia/commons/4/4a/Jimcollins.jpg, 1965-06-26, , 10635
Talcott Parsons, http://upload.wikimedia.org/wikipedia/en/4/45/Talcott_Parsons_%28photo%29.jpg, 1902-12-13, 1979-05-08, 149751
John von Neumann, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/JohnvonNeumann-LosAlamos.gif/220px-JohnvonNeumann-LosAlamos.gif, 1903-12-28, 1957-02-08, 106194
Friedrich Hayek, http://upload.wikimedia.org/wikipedia/commons/7/7f/Friedrich_Hayek_portrait.jpg, 1899-05-08, 1992-03-23, 105603
Elon Musk, http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Elon_Musk_2015.jpg/220px-Elon_Musk_2015.jpg, 1971-06-28, , 73155
Qian Xuesen, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Tsien_Hsue-shen.jpg/250px-Tsien_Hsue-shen.jpg, 1911-12-11, 2009-10-31, 34921
